ROI net sum

Spectrum                                 Na   Mg    Al      Si    S    Cl     K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr    Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 8322 8941 12042 1028253 8219 19960 27599 1031543 4129  1354  2170 67739  2854 11011 8128 22842  9980 69730  1469
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 8667 8979 11865 1027126 7949 20026 27419 1029840 3968  1492  2397 67835  3629 11153 7823 22008 10324 68780  1563
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 8490 8981 11845 1028841 8065 20092 27676 1030839 3917  1487  1826 67031  2915 11025 7615 21913 10000 68880  1523
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 8488 9107 11931 1026982 8300 20244 27445 1032653 3994  1434  2328 67585  2993 11482 7865 21837  9462 69846  1497
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 8537 9110 12090 1025461 8059 19700 27120 1032212 4131  1406  2137 67348  3868 10839 6994 21746  9675 69549  1698
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 8631 8843 12153 1029065 7880 20349 27116 1032022 4041  1518  2476 67405  2930 11118 7488 22242 10601 70041  1440
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  8426 8713 11899 1023816 8052 19858 27124 1030460 4026  1561  2873 67076  3300 10999 7381 22003  9539 69871  1398
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 8484 9073 11967 1026434 8115 20258 27453 1030996 4030  1470  2292 66789  2759 11164 7870 22022 10122 69442  1355
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 8546 8920 11883 1025430 8119 19863 27876 1031422 3921  1252  2272 67906  3699 10595 7759 21853  9837 69679  1471
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 8609 8869 12121 1026701 8085 20065 27503 1031361 3710  1352  2250 67142  3135 11382 8224 21822 10256 69398  1763
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 8605 8739 11999 1026658 8266 20280 27406 1030852 4257  1765  2153 66974  3240 11370 7199 21677  9832 69427  1578
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 8336 8871 11890 1026748 8229 19873 27502 1029892 4269  1811  3252 67623  2803 10920 7292 21477  9464 69609  1659
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 8417 8742 12011 1025701 7918 20285 27815 1030714 3998  1650  1979 66800  3282 11086 7965 21966  9888 69711  1610
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 8442 8975 11623 1025100 7977 19927 27528 1030230 3960  1261  2118 67273  2980 10682 7404 21949  9999 69447  1455
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 8441 9130 12070 1027310 8281 20126 27801 1031164 4035  1394  2629 67624  3185 10824 7614 22166  9986 69563  1680
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 8292 8938 11935 1026236 8061 20366 27639 1028888 4001  1652  2642 67045  3274 11495 7479 21390  9105 69238  1402
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 8529 8751 11942 1025212 8059 20278 27439 1029075 4172  1521  2613 67047  3646 11713 7742 21639 10764 68988  1786
SRM_1831_300s_100_repeat_Rh_FE_D2_0_0  8781 9352 13021 1082963 8307 21850 28460 1088349 4069  1371  2200 70519  3426 11227 7952 23029 10422 71607  1591
SRM_1831_300s_100_repeat_Rh_FE_D2_0_1  8796 9063 12756 1078180 8458 21691 28717 1084536 4199  1518  2638 71413  2772 10907 7592 22606 10730 72265  1408
SRM_1831_300s_100_repeat_Rh_FE_D2_0_10 8842 9318 12825 1075552 8285 21563 28819 1085237 4265  1555  2726 70876  3063 10922 7603 22292 10568 72740  1392
SRM_1831_300s_100_repeat_Rh_FE_D2_0_11 8768 9268 12849 1076587 8437 21705 29353 1083416 4345  1627  2221 70451  2698 11106 7942 21952 10049 71964  1479
SRM_1831_300s_100_repeat_Rh_FE_D2_0_12 8783 9102 13030 1076086 8085 21316 29048 1084629 4333  1517  2514 70999  2637 11211 7897 23068 10449 71456  1481
SRM_1831_300s_100_repeat_Rh_FE_D2_0_13 8702 9431 12837 1077281 8198 21345 28921 1082178 4209  1616  2419 71596  2811 11316 7883 22657 10306 72082  1345
SRM_1831_300s_100_repeat_Rh_FE_D2_0_14 8676 9372 12660 1077475 8170 21080 28643 1083028 4309  1873  2542 71061  2930 11723 8393 22618 10869 71215  1498
SRM_1831_300s_100_repeat_Rh_FE_D2_0_15 9069 9191 12791 1078774 8295 21341 28623 1085858 4643  1549  2202 70419  3185 11109 7741 22526  9921 71613  1536
SRM_1831_300s_100_repeat_Rh_FE_D2_0_16 8747 9293 12728 1079486 8268 21167 28641 1083746 4360  1839  2612 71532  2917 11055 8380 22506 10770 71832  1737
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 8848 9260 12657 1079267 8078 21353 28940 1084787 4314  1469  2408 70939  3152 11265 8167 22781 10556 72093  1416
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 8691 9301 12798 1078684 8277 21485 29164 1084406 4409  1443  2671 71504  3380 11855 8171 23023  9921 72244  1603
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 8883 9175 12503 1079368 7879 21217 28725 1087166 4303  1723  2332 70438  2960 11682 8173 22723  9605 72216  1445
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  8877 9133 12994 1078768 8149 21464 29095 1084573 4168  1612  2703 71619  3287 12062 7530 22284 10033 71932  1408
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 8820 9315 12713 1078252 7772 21020 28943 1084711 4027  1565  2454 71693  3594 11710 8047 22294 10521 72104  1399
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 8856 9175 12825 1079486 8336 21133 29043 1084102 4244  2005  2899 71753  2859 11814 8736 22774 10582 72666  1400
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 8954 9262 12800 1080923 8116 21318 28871 1085303 3946  1585  2345 70938  2854 11806 7251 22414 10140 71589  1409
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 8891 9367 13014 1079898 8190 21563 29010 1085604 4222  1613  2449 70877  3558 11790 7661 22574 10142 72494  1198
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 8865 9272 12976 1079343 8139 21247 28827 1084356 4425  1665  2441 70971  3207 11927 8299 22918 10673 72688  1623
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 8722 9163 12761 1078554 7985 21360 28684 1087184 4150  1565  2444 71038  3257 11956 7896 22853 10449 71946  1868
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 8969 9173 12971 1078028 7976 21423 28875 1084211 4297  1601  2250 70058  2993 11709 8322 22878 10416 71633  1778
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 8833 9282 12788 1080637 8430 21479 28975 1086904 4288  1590  2813 71017  2745 11705 8237 23331 10855 72375  1564
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 8669 9393 12766 1079359 7921 21202 29075 1085635 4268  1529  2510 71068  3144 11843 8211 22853 10229 71857  1413
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 8749 9156 12638 1077692 8094 21548 28863 1085967 4304  1583  2227 70983  3727 12314 8340 23792 10372 72422  1683
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  8780 9243 13124 1077720 8110 21417 28999 1085286 4318  1615  2279 70682  3961 11520 8077 23502 11054 71374  1329
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 8757 9289 12566 1080373 8156 21600 28920 1087000 4341  1720  2684 71496  4082 11621 8264 22945 10940 72045  1389
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 8922 9462 12917 1077242 8054 21391 28824 1082695 4130  1743  2341 69762  3299 11777 8161 23411 10803 71812  1289
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 8812 9506 13040 1081650 8378 21504 29068 1086490 4297  1634  2843 70848  3375 12225 8149 22530 10345 71805  1446
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 8685 9166 12915 1080185 8239 21232 28841 1087694 3921  1461  2403 71046  2418 11223 8014 22140 10261 71762  1718
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 9015 9346 12971 1080035 8318 21609 29290 1085419 4288  1873  2578 71550  2903 11676 7955 23275 10644 73076  1664
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 8822 9400 12672 1077771 8062 21223 28950 1085519 4303  1606  2390 70969  2881 11709 8241 22589 10687 71117  1526
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 9008 9304 12744 1079198 8210 21259 28932 1085669 4296  1462  2672 71467  2809 11281 7817 23007 10136 72137  1554
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 8822 9294 12819 1077706 8194 21379 28910 1087871 4271  1491  2514 71190  2865 11459 8396 22881 10397 71745  1362
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 8869 9352 12679 1080154 8350 21468 29018 1087616 4128  1784  2318 70901  2489 11289 8170 22686 10253 72738  1688
