ROI sum

Spectrum                                  Na    Mg    Al      Si     S     K      Ca    Ti     V    Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_100_repeat_Rh_FE_D2_0_74 10350 11407 15078 1082400 10875 33229 1089546 10642 12383 95591 61924 82569 58541  99557
SRM_1831_300s_100_repeat_Rh_FE_D2_0_75 10335 11046 14923 1080954 10752 33161 1090560 10402 12049 95416 61923 82270 58272  99729
SRM_1831_300s_100_repeat_Rh_FE_D2_0_76 10439 11258 15124 1082873 10943 32912 1091498 10377 12347 95609 61987 81913 58554 100053
SRM_1831_300s_100_repeat_Rh_FE_D2_0_77 10379 11190 15152 1079977 10954 33622 1089999 10280 12266 95160 61459 82482 58595  99491
SRM_1831_300s_100_repeat_Rh_FE_D2_0_78 10312 11161 15068 1079679 10896 33167 1091259 10792 12141 95924 61689 82049 58800  99501
SRM_1831_300s_100_repeat_Rh_FE_D2_0_79 10388 11109 15022 1084297 10952 33359 1091503 10647 12426 95927 61922 82261 58319 100178
SRM_1831_300s_100_repeat_Rh_FE_D2_0_8  10218 11025 14928 1078754 10818 33116 1087384 10633 12338 95431 61565 82366 58872  99484
SRM_1831_300s_100_repeat_Rh_FE_D2_0_80 10368 11420 15096 1083210 10911 33093 1091179 10419 12284 95844 62201 82141 58615  99573
SRM_1831_300s_100_repeat_Rh_FE_D2_0_81 10200 11113 15241 1082676 10924 33231 1090007 10551 12113 95960 62311 82641 58299  99425
SRM_1831_300s_100_repeat_Rh_FE_D2_0_82 10297 11317 15021 1082674 11018 33336 1091635 10547 12254 96140 61866 82736 57947  99614
SRM_1831_300s_100_repeat_Rh_FE_D2_0_83 10371 11200 15006 1081325 10864 33414 1090982 10575 12235 95463 61606 82627 58260  99369
SRM_1831_300s_100_repeat_Rh_FE_D2_0_84 10241 11276 14886 1081399 10991 33082 1089058 10463 12001 95697 62038 82647 58271  99608
