ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D2_0_17 10407 11214 14934 1081630 10887 24800 33241 1089398 10480 12165 21983 95917 39921 61772 73753 82356 58522  99521  9748
SRM_1831_300s_100_repeat_Rh_FE_D2_0_18 10225 11212 15003 1080943 10928 24798 33418 1089020 10463 11998 22004 95931 40331 62285 73670 82549 58425  99697  9903
SRM_1831_300s_100_repeat_Rh_FE_D2_0_19 10498 11207 14885 1081862 10794 24738 33083 1091862 10483 12104 21802 95323 39930 62050 73922 82525 58208  99631  9764
SRM_1831_300s_100_repeat_Rh_FE_D2_0_2  10428 11072 15246 1081099 10888 24874 33451 1089299 10471 12151 21817 96010 40141 62457 73338 82110 58237  99684  9746
SRM_1831_300s_100_repeat_Rh_FE_D2_0_20 10384 11275 14994 1080615 10597 24482 33238 1089321 10378 12267 21667 96036 40002 62163 73775 82080 58606  99605  9615
SRM_1831_300s_100_repeat_Rh_FE_D2_0_21 10408 11118 15082 1081815 11130 24570 33366 1088766 10478 12244 21715 96155 38436 62360 74158 82250 58675  99608  9679
SRM_1831_300s_100_repeat_Rh_FE_D2_0_22 10499 11193 15042 1083236 10887 24755 33196 1089937 10309 12152 21951 96141 39934 62312 73069 82210 58353  99428  9958
SRM_1831_300s_100_repeat_Rh_FE_D2_0_23 10429 11293 15257 1082223 10989 25027 33404 1090357 10409 12270 21879 95790 40193 62211 73509 82437 58743  99700  9631
SRM_1831_300s_100_repeat_Rh_FE_D2_0_24 10410 11211 15240 1081701 10905 24620 33033 1088865 10502 12250 21904 95756 39830 62171 73588 82235 58637  99746  9929
SRM_1831_300s_100_repeat_Rh_FE_D2_0_25 10300 11136 15049 1080912 10791 24835 33053 1091891 10429 12166 21828 95699 40264 62502 73757 82663 58718  99596 10023
SRM_1831_300s_100_repeat_Rh_FE_D2_0_26 10467 11061 15184 1080339 10748 24884 33288 1088984 10538 12270 21477 94906 39917 62020 73653 82101 58386  99195  9758
SRM_1831_300s_100_repeat_Rh_FE_D2_0_27 10364 11184 14965 1082829 11034 24807 33242 1091442 10580 12215 21944 95840 39838 62404 73705 82723 58398  99518  9777
SRM_1831_300s_100_repeat_Rh_FE_D2_0_28 10207 11320 15007 1081675 10730 24665 33410 1090276 10495 12211 21954 95673 39727 62015 73782 82474 58679  99157  9674
SRM_1831_300s_100_repeat_Rh_FE_D2_0_29 10291 11092 14899 1080046 10922 25026 33189 1090557 10524 12298 21796 95880 40446 62539 73823 83361 58911  99720  9787
SRM_1831_300s_100_repeat_Rh_FE_D2_0_3  10356 11209 15388 1080021 10813 24773 33221 1089809 10474 12259 21731 95519 40014 61822 73603 82906 58587  98988  9603
SRM_1831_300s_100_repeat_Rh_FE_D2_0_30 10344 11276 14871 1082745 10864 24970 33204 1091603 10567 12372 21854 95678 40163 61600 74092 82685 59006  99463  9733
SRM_1831_300s_100_repeat_Rh_FE_D2_0_31 10465 11399 15174 1079580 10835 24829 33121 1087278 10364 12265 21698 94773 39788 61546 73439 82709 58537  99107  9801
SRM_1831_300s_100_repeat_Rh_FE_D2_0_32 10337 11394 15198 1083830 10947 24815 33386 1091149 10599 12094 21749 95553 40106 62569 74127 82395 58442  99290  9776
SRM_1831_300s_100_repeat_Rh_FE_D2_0_33 10265 11134 15179 1082485 10952 24653 33212 1092396 10262 12209 21969 95902 39464 61852 73712 81836 58384  99360 10116
SRM_1831_300s_100_repeat_Rh_FE_D2_0_34 10558 11267 15183 1082294 10908 24880 33522 1089982 10585 12313 21763 96101 39843 62207 73598 82886 58738 100452  9840
SRM_1831_300s_100_repeat_Rh_FE_D2_0_35 10391 11369 14972 1080163 10949 24757 33350 1090227 10389 12134 21827 95858 40042 62224 73845 82032 58481  98942  9952
SRM_1831_300s_100_repeat_Rh_FE_D2_0_36 10570 11250 14992 1081504 10932 24686 33275 1090322 10519 12123 21776 95846 39718 61751 73358 82544 58071  99010  9830
SRM_1831_300s_100_repeat_Rh_FE_D2_0_37 10373 11230 15057 1080002 10871 24746 33210 1092524 10521 12138 21714 95990 39952 61923 74117 82532 58634  99209  9626
SRM_1831_300s_100_repeat_Rh_FE_D2_0_38 10398 11253 14865 1082379 10971 24785 33258 1092188 10405 12407 21667 95629 39687 61865 73859 82303 58426  99979  9955
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 10359 11272 14768 1079608 10859 24821 33052 1089246 10460 12302 22029 95911 39902 61712 73839 82270 58568  99747  9670
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  10348 11254 15213 1081533 10892 24565 33492 1092178 10498 12175 21847 96416 39895 62068 73798 82730 59216  99548  9683
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 10408 11320 15004 1081734 10891 24837 33154 1090835 10402 12153 22088 96237 39721 62203 73266 82282 58561 100242  9837
