Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_2_17_9  14.44 4.20 1.71 63.05 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_0  14.27 4.13 1.67 63.24 0.21 0.76 15.47 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_1  14.42 4.11 1.70 63.13 0.22 0.74 15.42 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_18_10 14.15 4.14 1.70 63.31 0.21 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_11 14.44 4.11 1.70 63.14 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_12 14.28 4.22 1.70 63.13 0.21 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_13 14.51 4.09 1.71 63.10 0.22 0.75 15.37 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_14 14.33 4.20 1.71 63.14 0.21 0.75 15.41 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_15 14.10 4.12 1.68 63.36 0.21 0.75 15.53 0.03 0.18 0.04 0.00
SRM_1831_300s_20x20det_2_18_16 14.41 4.13 1.67 63.15 0.21 0.76 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_17 14.04 4.16 1.69 63.38 0.22 0.76 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_18 14.22 4.10 1.70 63.26 0.21 0.76 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_19 14.39 4.14 1.72 63.12 0.21 0.74 15.41 0.04 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_2  14.30 4.08 1.72 63.22 0.21 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_3  14.33 4.19 1.68 63.17 0.21 0.75 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_4  14.35 4.05 1.70 63.22 0.21 0.76 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_5  14.62 4.07 1.70 63.03 0.21 0.75 15.36 0.03 0.18 0.03 0.00
