Atomic percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_1_18_6  18.20 4.96 1.75 63.53 0.19 0.52 10.73 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_7  17.60 4.85 1.75 63.99 0.20 0.53 10.96 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_8  17.82 4.92 1.76 63.82 0.20 0.53 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_18_9  18.19 4.93 1.75 63.53 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_0  18.50 4.98 1.78 63.28 0.19 0.52 10.64 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_1  17.82 4.90 1.79 63.81 0.20 0.52 10.83 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_10 18.11 4.90 1.73 63.62 0.20 0.53 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_11 17.81 4.84 1.72 63.92 0.20 0.53 10.87 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_12 18.30 4.93 1.72 63.48 0.21 0.52 10.72 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_13 18.00 4.95 1.76 63.66 0.20 0.53 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_14 18.13 4.89 1.79 63.57 0.19 0.52 10.78 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_15 18.16 4.92 1.75 63.59 0.19 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_16 18.20 4.84 1.77 63.59 0.20 0.52 10.75 0.02 0.09 0.01 0.00
SRM_1831_300s_20x20det_1_19_17 17.99 5.04 1.77 63.59 0.20 0.52 10.75 0.02 0.09 0.01 0.00
