ROI sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_2_9   1533346 1526856 143879
SRM_1831_300s_20x20det_1_3_0   1530327 1529981 147230
SRM_1831_300s_20x20det_1_3_1   1532206 1529373 145261
SRM_1831_300s_20x20det_1_3_10  1531802 1528967 143119
SRM_1831_300s_20x20det_1_3_11  1533187 1529776 143035
SRM_1831_300s_20x20det_1_3_12  1535283 1528434 143818
SRM_1831_300s_20x20det_1_3_13  1530581 1525900 143586
SRM_1831_300s_20x20det_1_3_14  1530532 1526953 142960
SRM_1831_300s_20x20det_1_3_15  1535297 1524618 143403
SRM_1831_300s_20x20det_1_3_16  1532505 1528202 142200
SRM_1831_300s_20x20det_1_3_17  1532183 1524281 144107
SRM_1831_300s_20x20det_1_3_18  1531676 1529409 143348
SRM_1831_300s_20x20det_1_3_19  1532258 1529163 143122
SRM_1831_300s_20x20det_1_3_2   1531596 1528984 144402
SRM_1831_300s_20x20det_1_3_3   1535238 1528674 144834
SRM_1831_300s_20x20det_1_3_4   1532976 1527725 144203
SRM_1831_300s_20x20det_1_3_5   1532211 1529188 143834
SRM_1831_300s_20x20det_1_3_6   1534236 1526389 143704
SRM_1831_300s_20x20det_1_3_7   1530000 1528250 143443
SRM_1831_300s_20x20det_1_3_8   1531823 1528138 143460
SRM_1831_300s_20x20det_1_3_9   1534534 1529213 143294
SRM_1831_300s_20x20det_1_4_0   1531543 1529863 147445
SRM_1831_300s_20x20det_1_4_1   1532130 1528058 145324
SRM_1831_300s_20x20det_1_4_10  1530991 1524643 144099
SRM_1831_300s_20x20det_1_4_11  1529590 1522918 143179
SRM_1831_300s_20x20det_1_4_12  1529651 1526251 142952
SRM_1831_300s_20x20det_1_4_13  1530953 1527219 143353
SRM_1831_300s_20x20det_1_4_14  1530412 1525753 143180
SRM_1831_300s_20x20det_1_4_15  1529718 1526352 143332
SRM_1831_300s_20x20det_1_4_16  1507429 1526830 143176
SRM_1831_300s_20x20det_1_4_17  1529232 1524483 143735
SRM_1831_300s_20x20det_1_4_18  1531748 1527629 143981
SRM_1831_300s_20x20det_1_4_19  1534812 1530337 143840
SRM_1831_300s_20x20det_1_4_2   1530408 1529148 145477
SRM_1831_300s_20x20det_1_4_3   1531641 1525827 142956
SRM_1831_300s_20x20det_1_4_4   1525393 1520659 143117
SRM_1831_300s_20x20det_1_4_5   1527974 1524868 142591
SRM_1831_300s_20x20det_1_4_6   1527073 1524691 142745
SRM_1831_300s_20x20det_1_4_7   1530541 1527118 143048
SRM_1831_300s_20x20det_1_4_8   1528835 1526552 142997
SRM_1831_300s_20x20det_1_4_9   1530615 1522192 142724
SRM_1831_300s_20x20det_1_5_0   1533950 1529094 146741
SRM_1831_300s_20x20det_1_5_1   1532916 1530982 144680
SRM_1831_300s_20x20det_1_5_10  1530411 1525171 143473
SRM_1831_300s_20x20det_1_5_11  1536555 1531971 144122
SRM_1831_300s_20x20det_1_5_12  1531241 1526462 143897
SRM_1831_300s_20x20det_1_5_13  1531442 1526381 143767
SRM_1831_300s_20x20det_1_5_14  1535527 1531566 143590
SRM_1831_300s_20x20det_1_5_15  1532942 1529337 143431
SRM_1831_300s_20x20det_1_5_16  1527855 1523961 143831
SRM_1831_300s_20x20det_1_5_17  1531003 1527804 143000
SRM_1831_300s_20x20det_1_5_18  1532431 1525205 143335
SRM_1831_300s_20x20det_1_5_19  1530072 1526970 143412
SRM_1831_300s_20x20det_1_5_2   1532711 1526674 144195
SRM_1831_300s_20x20det_1_5_3   1528484 1527919 144195
SRM_1831_300s_20x20det_1_5_4   1533239 1527807 143548
SRM_1831_300s_20x20det_1_5_5   1527311 1524483 144031
SRM_1831_300s_20x20det_1_5_6   1530538 1526928 143349
SRM_1831_300s_20x20det_1_5_7    218236  217707  20807
SRM_1831_300s_20x20det_1_5_8   1530968 1525753 144065
SRM_1831_300s_20x20det_1_5_9   1529787 1525108 143394
SRM_1831_300s_20x20det_1_6_0   1533197 1530700 147472
SRM_1831_300s_20x20det_1_6_1   1531525 1527538 145682
SRM_1831_300s_20x20det_1_6_10  1532296 1526763 143288
SRM_1831_300s_20x20det_1_6_11  1529281 1527099 143570
SRM_1831_300s_20x20det_1_6_12  1535103 1528923 143376
SRM_1831_300s_20x20det_1_6_13  1531418 1524672 143502
SRM_1831_300s_20x20det_1_6_14  1535804 1530379 142871
SRM_1831_300s_20x20det_1_6_15  1534008 1527787 143534
SRM_1831_300s_20x20det_1_6_16  1531932 1526029 143595
SRM_1831_300s_20x20det_1_6_17  1530101 1525593 142562
SRM_1831_300s_20x20det_1_6_18  1533905 1528260 143621
SRM_1831_300s_20x20det_1_6_19  1532498 1527553 143431
SRM_1831_300s_20x20det_1_6_2   1532228 1527055 143374
SRM_1831_300s_20x20det_1_6_3   1531010 1525128 143742
SRM_1831_300s_20x20det_1_6_4   1533326 1526922 143781
SRM_1831_300s_20x20det_1_6_5   1529646 1522815 143511
SRM_1831_300s_20x20det_1_6_6   1530077 1526451 143129
SRM_1831_300s_20x20det_1_6_7   1530936 1525171 142881
SRM_1831_300s_20x20det_1_6_8   1533825 1529207 143154
SRM_1831_300s_20x20det_1_6_9   1530507 1525820 143825
SRM_1831_300s_20x20det_1_7_0   1532062 1524996 146849
SRM_1831_300s_20x20det_1_7_1   1535073 1528850 145518
SRM_1831_300s_20x20det_1_7_10  1532114 1526916 143461
SRM_1831_300s_20x20det_1_7_11  1533086 1529661 144000
SRM_1831_300s_20x20det_1_7_12  1533906 1530432 143832
SRM_1831_300s_20x20det_1_7_13  1531716 1527971 143881
SRM_1831_300s_20x20det_1_7_14  1532964 1528215 143377
SRM_1831_300s_20x20det_1_7_15  1530579 1527379 143575
SRM_1831_300s_20x20det_1_7_16  1532597 1527141 142779
SRM_1831_300s_20x20det_1_7_17  1528004 1522670 143284
SRM_1831_300s_20x20det_1_7_18  1532808 1527969 144774
SRM_1831_300s_20x20det_1_7_19  1533934 1530046 143977
SRM_1831_300s_20x20det_1_7_2   1532159 1529002 144575
SRM_1831_300s_20x20det_1_7_3   1534153 1528778 144299
SRM_1831_300s_20x20det_1_7_4   1533813 1527254 143925
SRM_1831_300s_20x20det_1_7_5   1534150 1529515 143302
SRM_1831_300s_20x20det_1_7_6   1532427 1526416 142893
SRM_1831_300s_20x20det_1_7_7   1531149 1526701 143252
SRM_1831_300s_20x20det_1_7_8   1535402 1529010 143594
SRM_1831_300s_20x20det_1_7_9   1535821 1529181 143547
SRM_1831_300s_20x20det_1_8_0   1532769 1529551 146212
SRM_1831_300s_20x20det_1_8_1   1532931 1528372 144769
SRM_1831_300s_20x20det_1_8_10  1533446 1528153 143450
SRM_1831_300s_20x20det_1_8_11  1533439 1529274 143494
