Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_13_15.spx 10114 11642 15775 1677163 10089    78  48881 1855865  6653   260  2290 120136  2417 14660  7083 36192 12179 130499     0
SRM_1831_300s_20x20det_1_13_16.spx  9928 11571 15785 1676091 10139     0  48655 1860794  6768   464  2332 120304  2093 15144  7024 36361 11662 131346     0
SRM_1831_300s_20x20det_1_13_17.spx 10323 11699 15668 1674752 10251     0  47822 1854753  6636   615  2316 119432  2476 14255  7083 36521 11150 130487     0
SRM_1831_300s_20x20det_1_13_18.spx 10512 11658 16049 1680066 10177   210  50403 1860062  6364  1044  2654 120570  1728 14451  7010 35781 11101 131257     0
SRM_1831_300s_20x20det_1_13_19.spx 10466 11485 15740 1676800 10274     0  44848 1859875  6423   875  2894 120945  2509 14079  6445 35299 11337 130910     0
SRM_1831_300s_20x20det_1_13_2.spx  10315 11695 16065 1672679 10210     0  51300 1857246  6952   675  2573 120147  1826 14189  6817 36003 11516 130918     0
SRM_1831_300s_20x20det_1_13_3.spx  10220 11373 15632 1674858  9876     0  42614 1853087  6496   871  2595 120403  2460 14063  6935 35613 12259 129958     0
SRM_1831_300s_20x20det_1_13_4.spx  10277 11385 15796 1672106  9894     0  44241 1854142  6215   483  2374 119471  1916 14769  6826 36108 10996 130351     0
SRM_1831_300s_20x20det_1_13_5.spx  10215 11603 15807 1672322  9907     0  51341 1853721  6825   435  2122 119364  1781 14686  6823 35775 11524 131258     0
SRM_1831_300s_20x20det_1_13_6.spx  10207 11509 15747 1674897  9666     0  51310 1856543  6554   361  2562 120005  1873 14646  6845 36222 11037 131296     0
SRM_1831_300s_20x20det_1_13_7.spx  10383 11639 15951 1669566 10138     0  45663 1857212  6506   684  2683 119860  2096 14457  7299 35083 10259 130987     0
SRM_1831_300s_20x20det_1_13_8.spx  10089 11338 16186 1676576 10024     0  40783 1858408  6854  1017  2875 120596  1501 13770  7290 35289 11154 129954     0
SRM_1831_300s_20x20det_1_13_9.spx  10276 11548 15982 1672633 10291     0  42066 1855882  6558   496  2455 120360  2619 15111  7708 36204 11517 130470     0
SRM_1831_300s_20x20det_1_14_0.spx  10083 11741 15836 1679457 10194     0  50639 1859735  6645   673  2308 119820  2589 14756  6685 36058 10217 131940     0
