Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_5_16  1649834 1820868 120204
SRM_1831_300s_20x20det_1_5_17  1653259 1824915 118770
SRM_1831_300s_20x20det_1_5_18  1655011 1821371 119149
SRM_1831_300s_20x20det_1_5_19  1651692 1823964 119636
SRM_1831_300s_20x20det_1_5_2   1655343 1824540 119203
SRM_1831_300s_20x20det_1_5_3   1650279 1823714 120192
SRM_1831_300s_20x20det_1_5_4   1655586 1824550 120454
SRM_1831_300s_20x20det_1_5_5   1648204 1821115 120877
SRM_1831_300s_20x20det_1_5_6   1651938 1823618 119861
SRM_1831_300s_20x20det_1_5_7    235586  259534  17049
SRM_1831_300s_20x20det_1_5_8   1653649 1822599 119421
SRM_1831_300s_20x20det_1_5_9   1651948 1820870 119965
SRM_1831_300s_20x20det_1_6_0   1655473 1828188 120885
SRM_1831_300s_20x20det_1_6_1   1653631 1824336 120833
SRM_1831_300s_20x20det_1_6_10  1653889 1824396 119703
SRM_1831_300s_20x20det_1_6_11  1651981 1824206 119723
SRM_1831_300s_20x20det_1_6_12  1657277 1825407 119843
SRM_1831_300s_20x20det_1_6_13  1652589 1821278 119823
SRM_1831_300s_20x20det_1_6_14  1659126 1826159 118608
SRM_1831_300s_20x20det_1_6_15  1656123 1824242 120882
SRM_1831_300s_20x20det_1_6_16  1654813 1823010 119973
SRM_1831_300s_20x20det_1_6_17  1652212 1821624 117697
SRM_1831_300s_20x20det_1_6_18  1656894 1824475 119574
SRM_1831_300s_20x20det_1_6_19  1655071 1823038 119804
SRM_1831_300s_20x20det_1_6_2   1654249 1822788 118263
SRM_1831_300s_20x20det_1_6_3   1652834 1822260 119248
SRM_1831_300s_20x20det_1_6_4   1655699 1825768 120669
SRM_1831_300s_20x20det_1_6_5   1652184 1818906 119770
SRM_1831_300s_20x20det_1_6_6   1652183 1823003 119443
SRM_1831_300s_20x20det_1_6_7   1653099 1822025 119765
SRM_1831_300s_20x20det_1_6_8   1656004 1826585 119319
SRM_1831_300s_20x20det_1_6_9   1652195 1823193 120536
SRM_1831_300s_20x20det_1_7_0   1654644 1821054 120205
SRM_1831_300s_20x20det_1_7_1   1657440 1825929 120639
SRM_1831_300s_20x20det_1_7_10  1654933 1823936 120081
SRM_1831_300s_20x20det_1_7_11  1655538 1827287 120609
SRM_1831_300s_20x20det_1_7_12  1656221 1827773 120632
SRM_1831_300s_20x20det_1_7_13  1654103 1824013 119829
SRM_1831_300s_20x20det_1_7_14  1655494 1825355 119865
SRM_1831_300s_20x20det_1_7_15  1653009 1825053 120054
SRM_1831_300s_20x20det_1_7_16  1655049 1823649 118996
SRM_1831_300s_20x20det_1_7_17  1649066 1819579 118854
SRM_1831_300s_20x20det_1_7_18  1655908 1825406 121165
SRM_1831_300s_20x20det_1_7_19  1657030 1827752 120419
SRM_1831_300s_20x20det_1_7_2   1654588 1825964 119987
SRM_1831_300s_20x20det_1_7_3   1655766 1824713 119989
SRM_1831_300s_20x20det_1_7_4   1656844 1824430 120395
SRM_1831_300s_20x20det_1_7_5   1656523 1827809 119820
SRM_1831_300s_20x20det_1_7_6   1654083 1821818 119048
SRM_1831_300s_20x20det_1_7_7   1652871 1823091 119484
SRM_1831_300s_20x20det_1_7_8   1658286 1824781 119761
