Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_14_2   9324  9578  8624 1652983  9400 40466 1819690  6826    58 119036  4846 30538  9856 119333
SRM_1831_300s_20x20det_1_14_3   9267  9431  8284 1656387  9462 40566 1817590  6149    69 119658  4838 31266  9835 119790
SRM_1831_300s_20x20det_1_14_4   9463  9399  8416 1654851  9371 40726 1818529  6429    89 118968  5077 32004  9519 120279
SRM_1831_300s_20x20det_1_14_5   9341  9431  8808 1655990  8971 40310 1815943  6593   283 119767  4770 31300 10279 119292
SRM_1831_300s_20x20det_1_14_6   9192  9493  8264 1656650  9102 40718 1818441  6493   130 119082  4847 31002 10236 120507
SRM_1831_300s_20x20det_1_14_7   9440  9281  8420 1651118  9447 40112 1819197  6320     0 119918  5386 31046 10304 120195
SRM_1831_300s_20x20det_1_14_8   9561  9155  8677 1654486  9479 40743 1816136  6950   184 120206  4685 31205 10959 119701
SRM_1831_300s_20x20det_1_14_9   8584  9073  8241 1603297  8975 39652 1809528  6395   348 119333  4496 30181 11093 119437
SRM_1831_300s_20x20det_1_15_0   9494  9395  8613 1658615  9532 40603 1821360  6504   125 119801  4776 32056 10079 121287
SRM_1831_300s_20x20det_1_15_1   9635  9610  8665 1659623  9293 41086 1819517  6647   218 119631  4851 30736 10202 119482
SRM_1831_300s_20x20det_1_15_10  9474  9399  8369 1654907  9453 40712 1817341  6704    59 119406  4894 31040  9623 119122
SRM_1831_300s_20x20det_1_15_11  9334  9451  8601 1652295  9374 40612 1817052  6724     0 119246  4584 30945 10295 119202
SRM_1831_300s_20x20det_1_15_12  9506  9343  8593 1652547  9171 40601 1817057  6099   278 119763  5068 29924 10073 120470
SRM_1831_300s_20x20det_1_15_13  9245  9488  8473 1655412  9344 39868 1816466  6528   112 119741  4867 30313 11110 119505
SRM_1831_300s_20x20det_1_15_14  9529  9431  8533 1651532  9759 40398 1815405  6464   256 119613  4262 31300  9962 120605
SRM_1831_300s_20x20det_1_15_15  9522  9501  8468 1654009  9133 40573 1820180  6425    31 119974  4584 31152 10608 119178
SRM_1831_300s_20x20det_1_15_16  9361  9474  8743 1658871  9435 40142 1822885  6534   180 120442  4877 30294 11085 119882
SRM_1831_300s_20x20det_1_15_17  9485  9351  8767 1659124  9293 40118 1819980  6337     0 120332  5181 31118 10449 118626
SRM_1831_300s_20x20det_1_15_18  9453  9567  8598 1655884  9162 40286 1817542  6325   189 119933  5169 30270 10917 118861
SRM_1831_300s_20x20det_1_15_19  9464  9408  7934 1660389  9320 40628 1822390  6303     6 119618  5084 31271 10083 120025
SRM_1831_300s_20x20det_1_15_2   9334  9700  8513 1654366  9359 40402 1824072  6355    51 120610  4612 31571 10502 120520
SRM_1831_300s_20x20det_1_15_3   9276  9001  8119 1656163  9439 40405 1818504  6650    79 119486  4131 31468  9812 119921
SRM_1831_300s_20x20det_1_15_4   9328  9339  8131 1652748  9371 40866 1818230  6104   162 120125  4870 31564 10068 119581
SRM_1831_300s_20x20det_1_15_5   9466  9525  8629 1656722  9313 40150 1819530  6266   193 119708  4946 31783 10248 119416
SRM_1831_300s_20x20det_1_15_6   9479  9446  8380 1656915  9332 40458 1824046  6571     0 120018  4703 30489 10480 120039
