ROI net sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_2_6   1530706 1521286 104136
SRM_1831_300s_20x20det_1_2_7   1526003 1518732 103651
SRM_1831_300s_20x20det_1_2_8   1529051 1519239 104030
SRM_1831_300s_20x20det_1_2_9   1530229 1520489 104147
SRM_1831_300s_20x20det_1_3_0   1527061 1523657 105227
SRM_1831_300s_20x20det_1_3_1   1529095 1523101 104394
SRM_1831_300s_20x20det_1_3_10  1528694 1522569 103494
SRM_1831_300s_20x20det_1_3_11  1530074 1523505 103365
SRM_1831_300s_20x20det_1_3_12  1532200 1522057 103992
SRM_1831_300s_20x20det_1_3_13  1527471 1519578 104066
SRM_1831_300s_20x20det_1_3_14  1527537 1520561 102918
SRM_1831_300s_20x20det_1_3_15  1532155 1518131 103793
SRM_1831_300s_20x20det_1_3_16  1529280 1521809 102633
SRM_1831_300s_20x20det_1_3_17  1529045 1517980 104777
SRM_1831_300s_20x20det_1_3_18  1528625 1523004 103921
SRM_1831_300s_20x20det_1_3_19  1529230 1522945 103554
SRM_1831_300s_20x20det_1_3_2   1528369 1522721 104210
SRM_1831_300s_20x20det_1_3_3   1532050 1522248 104932
SRM_1831_300s_20x20det_1_3_4   1529872 1521616 104666
SRM_1831_300s_20x20det_1_3_5   1529168 1522766 104339
SRM_1831_300s_20x20det_1_3_6   1531011 1520033 103885
SRM_1831_300s_20x20det_1_3_7   1526949 1521854 103501
SRM_1831_300s_20x20det_1_3_8   1528734 1521764 104022
SRM_1831_300s_20x20det_1_3_9   1531380 1522816 103672
SRM_1831_300s_20x20det_1_4_0   1528425 1523390 105463
SRM_1831_300s_20x20det_1_4_1   1528928 1521593 104756
SRM_1831_300s_20x20det_1_4_10  1528029 1518481 104935
SRM_1831_300s_20x20det_1_4_11  1526611 1516619 103742
SRM_1831_300s_20x20det_1_4_12  1526696 1519984 103110
SRM_1831_300s_20x20det_1_4_13  1527834 1521089 104157
SRM_1831_300s_20x20det_1_4_14  1527251 1519513 103469
SRM_1831_300s_20x20det_1_4_15  1526614 1519975 103833
SRM_1831_300s_20x20det_1_4_16  1504251 1520421 103311
SRM_1831_300s_20x20det_1_4_17  1526283 1518418 104283
SRM_1831_300s_20x20det_1_4_18  1528685 1521346 104499
SRM_1831_300s_20x20det_1_4_19  1531719 1523873 104385
SRM_1831_300s_20x20det_1_4_2   1527422 1522806 105474
SRM_1831_300s_20x20det_1_4_3   1528605 1519495 102959
SRM_1831_300s_20x20det_1_4_4   1522440 1514338 103317
SRM_1831_300s_20x20det_1_4_5   1524859 1518501 103225
SRM_1831_300s_20x20det_1_4_6   1524027 1518375 103264
SRM_1831_300s_20x20det_1_4_7   1527394 1520739 104031
SRM_1831_300s_20x20det_1_4_8   1525687 1520408 104222
SRM_1831_300s_20x20det_1_4_9   1527593 1515852 103101
SRM_1831_300s_20x20det_1_5_0   1530830 1522775 105064
SRM_1831_300s_20x20det_1_5_1   1529730 1524546 103662
SRM_1831_300s_20x20det_1_5_10  1527237 1518986 103526
SRM_1831_300s_20x20det_1_5_11  1533409 1525629 104163
SRM_1831_300s_20x20det_1_5_12  1528213 1520129 104245
SRM_1831_300s_20x20det_1_5_13  1528317 1520136 103983
SRM_1831_300s_20x20det_1_5_14  1532373 1525448 104048
SRM_1831_300s_20x20det_1_5_15  1529989 1522815 104148
SRM_1831_300s_20x20det_1_5_16  1524815 1517625 104565
SRM_1831_300s_20x20det_1_5_17  1527772 1521312 103746
SRM_1831_300s_20x20det_1_5_18  1529361 1518785 103634
SRM_1831_300s_20x20det_1_5_19  1526926 1520627 104138
SRM_1831_300s_20x20det_1_5_2   1529427 1520282 103668
SRM_1831_300s_20x20det_1_5_3   1525484 1521532 104401
SRM_1831_300s_20x20det_1_5_4   1530164 1521508 103977
SRM_1831_300s_20x20det_1_5_5   1524190 1518355 104775
SRM_1831_300s_20x20det_1_5_6   1527380 1520586 104665
SRM_1831_300s_20x20det_1_5_7    217806  216832  15518
SRM_1831_300s_20x20det_1_5_8   1527715 1519301 104220
SRM_1831_300s_20x20det_1_5_9   1526671 1518648 103788
SRM_1831_300s_20x20det_1_6_0   1530137 1524125 105695
SRM_1831_300s_20x20det_1_6_1   1528237 1521081 105087
SRM_1831_300s_20x20det_1_6_10  1529210 1520320 103596
SRM_1831_300s_20x20det_1_6_11  1526268 1520805 103862
SRM_1831_300s_20x20det_1_6_12  1532074 1522663 103639
SRM_1831_300s_20x20det_1_6_13  1528304 1518287 103837
SRM_1831_300s_20x20det_1_6_14  1532897 1523999 103467
SRM_1831_300s_20x20det_1_6_15  1530892 1521460 104227
SRM_1831_300s_20x20det_1_6_16  1528730 1519771 104274
SRM_1831_300s_20x20det_1_6_17  1526997 1519298 103076
SRM_1831_300s_20x20det_1_6_18  1530834 1521918 104234
SRM_1831_300s_20x20det_1_6_19  1529429 1521132 103586
SRM_1831_300s_20x20det_1_6_2   1529074 1520630 103175
SRM_1831_300s_20x20det_1_6_3   1527790 1518730 103715
SRM_1831_300s_20x20det_1_6_4   1530072 1520878 104270
SRM_1831_300s_20x20det_1_6_5   1526519 1516511 103604
SRM_1831_300s_20x20det_1_6_6   1526869 1520025 103413
SRM_1831_300s_20x20det_1_6_7   1527810 1518930 103592
SRM_1831_300s_20x20det_1_6_8   1530804 1522888 103936
