ROI net sum

Spectrum               Na    Mg    Al      Si      K      Ca    Ti    Mn     Fe    Zn    Rb     Sr    Zr     Rh
203                 44839 47201 63731 5413735 143949 5378913 20427 10981 343238 53466 36549 112717 47832 367015
204                 45096 46683 63305 5411903 143642 5380475 20473 10664 342348 53494 37964 114089 47728 365540
205                 44803 46689 63677 5407417 143506 5383561 19953 10925 341447 54839 36541 112067 47591 366697
206                 44724 46529 63585 5408980 143733 5375530 20171 10475 340914 54815 37116 112634 47654 366236
207                 44923 46854 63755 5407105 144241 5373402 20546 10359 340572 54583 37110 112883 47782 366930
208                 45156 46592 63956 5395754 143820 5366967 20908 10661 341129 54626 36645 111864 47033 365827
209                 44615 46497 63145 5395450 144184 5368026 20663 11481 341870 55192 36406 112044 47632 366533
210                 44865 46638 64025 5396317 144150 5370539 20558 10738 342146 54766 36958 112763 49017 367445
211                 45206 46919 64060 5391237 144662 5359125 20537  9634 339342 54000 35562 111476 46872 370916
212                 45785 47925 64610 5443026 145516 5407596 20379 11649 345928 54023 36808 113916 49042 390587
213                 45206 47835 65215 5447807 145361 5408636 19915 10627 344193 52588 35090 112913 48595 372787
214                 44790 47127 64095 5437989 144018 5404828 20195  9553 342545 53134 37364 113704 47937 369379
215                 44837 47237 64243 5441210 144775 5407076 20160 10101 343877 53508 35966 112989 48107 368977
216                 45090 46781 63801 5432386 144889 5402868 20274  9767 342180 52790 36293 113248 48355 367392
217                 44659 47458 64394 5431862 144504 5401332 20600 10055 342262 52875 36525 115133 49748 367727
218                 44914 47225 64556 5433958 144220 5401459 20434 10910 343402 53284 36283 114026 48558 367485
219                 44897 46877 63679 5425262 144586 5392021 20195 10412 342376 54579 36544 112083 46341 366253
220                 44332 46775 63659 5410600 144530 5394580 20327 10349 342310 53100 37562 114508 49257 366886
221                 44850 46658 63965 5423917 145203 5392465 20923  9702 344001 54727 36849 112881 48336 369571
222                 44838 46821 64185 5424777 144306 5389522 20096 10424 343309 53780 36263 112845 48135 366688
223                 45114 46389 63572 5424951 144888 5394810 20865 10781 343321 55417 36993 114480 48291 367360
224                 44819 47150 63772 5417329 143983 5392945 20662 10650 342013 54865 35816 113830 46629 366998
225                 44949 46608 63539 5417016 144581 5386356 19983  9645 342565 54187 36271 112977 48101 366711
226                 45541 46822 63696 5409247 144234 5388355 19505 10412 342583 54320 37254 113477 48214 366920
227                 45236 46425 64086 5408960 143798 5383357 20603 10736 341969 54966 37175 112943 47189 365880
228                 44732 46783 63976 5403872 144200 5372970 20997  8988 340369 54752 37706 113284 48079 365684
229                 44734 46827 64070 5399075 143880 5378246 20630 11653 342901 54786 36911 112083 47622 365387
230                 44703 46716 63397 5389860 144426 5367738 20481 10244 340640 53597 35701 112491 46679 365454
231                 44842 46970 63615 5396479 144482 5373367 20624 10886 342612 53745 36893 112231 47490 367929
232                 44531 47324 63516 5378193 142943 5346878 19823 10409 338352 53867 36921 111043 47159 372707
233                 45926 47866 64657 5438167 145138 5405994 20287 10113 342653 53491 36595 112147 48938 389033
234                 45232 47435 64599 5449147 145375 5416518 20401 10247 343674 54267 36885 112116 46488 373385
235                 44853 47405 64176 5447107 144704 5410419 20635 10008 343481 54926 36196 113575 48402 369199
236                 45114 47156 64453 5443705 144791 5411348 20242  9674 342221 54544 36329 114016 50273 367540
237                 45072 47202 63739 5437619 144132 5408352 20586  9589 344163 53023 36461 113506 48121 368549
238                 45220 46903 63910 5430391 143781 5398832 20532  9819 342399 54062 36417 112612 48683 368553
239                 45160 47062 63504 5431119 144893 5398973 20192  9790 342129 53895 37361 112377 49278 369000
240                 44609 47278 63893 5428110 144250 5401987 20359 10214 344457 54070 36483 113101 48833 367884
