ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_15_1  13018 13505 17989 1532813 41187 1522714 6273  3321 96919 16175 10738 32275 14779 104302
SRM_1831_300s_20x20det_1_15_10 12891 13360 17891 1530090 40588 1519280 6029  3238 96732 15724 10592 31988 13887 103456
SRM_1831_300s_20x20det_1_15_11 12649 13390 17927 1527036 41061 1518748 5965  3062 96445 15515 10416 31611 14354 103384
SRM_1831_300s_20x20det_1_15_12 12767 13191 18044 1526832 40936 1520174 5693  3094 96850 16007 11082 31632 13942 104671
SRM_1831_300s_20x20det_1_15_13 12740 13450 17938 1530298 40240 1519267 5887  3675 96658 15448 10175 31457 14958 103784
SRM_1831_300s_20x20det_1_15_14 12962 13221 17932 1526065 40844 1519904 5926  2926 96520 15899 10503 32045 14502 104643
SRM_1831_300s_20x20det_1_15_15 12871 13301 17839 1528875 40936 1523991 6082  2740 96701 15759 10614 32132 14353 103657
SRM_1831_300s_20x20det_1_15_16 12648 13423 18074 1531823 40674 1523460 6085  3594 97289 15786 10739 31783 15313 104822
SRM_1831_300s_20x20det_1_15_17 12712 13140 18241 1533262 40625 1523820 5863  3284 97302 15392 10434 32103 14598 103506
SRM_1831_300s_20x20det_1_15_18 12721 13519 18218 1530239 40538 1520934 5885  3565 96567 15769 10050 31823 15064 103717
SRM_1831_300s_20x20det_1_15_19 12764 13367 17500 1533956 40823 1524030 5793  2905 96339 16012 10787 32639 14791 103698
SRM_1831_300s_20x20det_1_15_2  12662 13517 17819 1529041 40856 1526448 5890  3851 97355 15784 10463 32093 14075 104371
SRM_1831_300s_20x20det_1_15_3  12689 13149 17913 1530610 40822 1522175 6051  3487 96606 15302 10337 32302 14539 104137
SRM_1831_300s_20x20det_1_15_4  12844 13346 17591 1527394 41158 1521910 5603  3307 97302 15244 10102 32420 14002 103482
SRM_1831_300s_20x20det_1_15_5  12815 13355 17857 1530932 40526 1522088 5723  3906 97566 15452 11061 33396 14506 104013
SRM_1831_300s_20x20det_1_15_6  12832 13260 17708 1531374 40879 1524792 6123  3796 96940 15645 10596 31989 15357 104032
SRM_1831_300s_20x20det_1_15_7  12685 13264 17824 1531117 40788 1521536 5657  3771 96995 16471 10415 31519 14171 104556
SRM_1831_300s_20x20det_1_15_8  12657 13342 17683 1528885 40578 1519571 6102  3496 96632 16071 10765 31926 14096 104769
SRM_1831_300s_20x20det_1_15_9  12811 13099 17794 1528936 40761 1518414 5546  3337 95684 16015  9890 32122 14404 104079
SRM_1831_300s_20x20det_1_16_0  12820 13359 18268 1532837 41026 1523532 5875  3206 96879 16204 10971 31770 14288 104947
SRM_1831_300s_20x20det_1_16_1  12729 13590 18282 1530674 40472 1522843 6223  3450 97157 15600 10367 31831 14701 103654
SRM_1831_300s_20x20det_1_16_10 12690 13021 17771 1530710 40668 1521994 6134  3328 96970 15352 10170 32262 14492 104514
SRM_1831_300s_20x20det_1_16_11 12761 13358 17942 1533260 41216 1524630 6012  2993 97300 15688 11259 32203 14333 103499
SRM_1831_300s_20x20det_1_16_12 12652 13360 17843 1530465 40871 1523961 5833  3664 96832 15017  9845 31927 14726 103729
SRM_1831_300s_20x20det_1_16_13 11229 11870 16404 1410212 40256 1505289 5839  2837 96460 16048 10842 32490 15608 103714
SRM_1831_300s_20x20det_1_16_14 12831 13400 17986 1531255 40657 1520592 6052  3138 96554 15790 10569 32120 15098 104376
SRM_1831_300s_20x20det_1_16_15 13009 13275 18039 1530118 40916 1522182 5744  3410 96058 15838 10617 31798 14602 103809
SRM_1831_300s_20x20det_1_16_16 12825 13484 17900 1532937 40756 1521834 5835  3004 96809 16338 10427 32007 14557 103992
SRM_1831_300s_20x20det_1_16_17 12527 13204 18208 1530241 40475 1522640 6067  3616 96891 15285 11218 31909 13542 103905
SRM_1831_300s_20x20det_1_16_18 12956 13226 17991 1534734 40956 1524795 6014  3041 96129 15769 10627 32558 15100 103840
SRM_1831_300s_20x20det_1_16_19 12692 13456 18065 1530847 40907 1522581 5708  3443 96261 15533 10467 32078 14511 104699
SRM_1831_300s_20x20det_1_16_2  12940 13547 18309 1533622 40744 1522286 5801  3529 97143 15644 10824 32657 15010 104300
SRM_1831_300s_20x20det_1_16_3  12827 13176 17841 1525568 40836 1518827 5876  3747 97345 15594 10414 31649 14885 103721
SRM_1831_300s_20x20det_1_16_4  12744 13208 17920 1532009 40528 1523073 6164  2751 96469 16111 10527 31977 13910 104262
SRM_1831_300s_20x20det_1_16_5  12639 13317 17669 1532405 40772 1519793 5983  3626 96988 15252 10828 32325 14307 103626
SRM_1831_300s_20x20det_1_16_6  12521 13319 17662 1529787 41009 1521322 5979  3589 96807 16253 10280 32555 15187 103224
SRM_1831_300s_20x20det_1_16_7  12866 13113 17737 1528854 40481 1521395 5892  3643 96792 15878 10479 31725 14952 104909
SRM_1831_300s_20x20det_1_16_8  12835 13287 17696 1529710 40523 1521986 5726  4048 97536 15398 10580 32261 14337 104663
SRM_1831_300s_20x20det_1_16_9  12685 13230 18182 1529514 40834 1519895 6276  3815 96748 15353 10167 32638 15232 104646
SRM_1831_300s_20x20det_1_17_0  12984 13392 17953 1534041 40739 1527194 5884  3526 96576 15629 10463 31841 14743 104832
SRM_1831_300s_20x20det_1_17_1  12933 13436 18184 1531577 40549 1524361 5917  3774 96994 15587 10206 31150 14344 104570
SRM_1831_300s_20x20det_1_17_10 12725 13298 17875 1533445 40960 1522886 6177  3452 97709 15852 10622 32154 14785 103679
SRM_1831_300s_20x20det_1_17_11 12694 13366 17756 1534353 40808 1523369 5862  3596 97255 15665 11200 32621 15134 105021
SRM_1831_300s_20x20det_1_17_12 12786 13300 18189 1533187 40369 1523561 6003  3695 97117 15594  9814 31686 14734 104667
SRM_1831_300s_20x20det_1_17_13 12663 13304 17984 1531997 40143 1521426 6150  3377 96849 16031 10520 32827 15480 103902
SRM_1831_300s_20x20det_1_17_14 12864 13244 17757 1533905 40834 1524478 5807  3833 96758 15762 10057 31969 14015 104221
SRM_1831_300s_20x20det_1_17_15 12921 13454 17735 1528983 40603 1520309 5674  3549 96937 15302 10426 31627 14596 105158
SRM_1831_300s_20x20det_1_17_16 12886 13338 18193 1533964 40496 1521537 5727  3297 97407 14491 11241 32128 14875 103648
SRM_1831_300s_20x20det_1_17_17 12775 13630 18081 1531438 40680 1519394 5831  3303 97412 15728 11227 32318 14086 104251
SRM_1831_300s_20x20det_1_17_18 12557 13405 17929 1530992 40792 1521891 6078  3718 96628 15578 10352 32217 14169 103961
SRM_1831_300s_20x20det_1_17_19 13002 13366 18023 1532399 40522 1520892 6224  4419 97570 15590 10051 32144 14288 104025
SRM_1831_300s_20x20det_1_17_2  12822 13416 17668 1533758 40823 1523145 5761  3480 97120 15674 10688 31907 14900 104168
SRM_1831_300s_20x20det_1_17_3  12722 13411 17875 1534985 40636 1524799 6028  3441 96578 15480 10924 32123 14308 103874
SRM_1831_300s_20x20det_1_17_4  12832 13204 17923 1527825 40684 1517357 6176  3765 96740 14976 11188 31606 14671 104407
SRM_1831_300s_20x20det_1_17_5  12872 13286 17992 1533988 40714 1526027 5607  3152 97932 15610 10428 31834 14705 103656
SRM_1831_300s_20x20det_1_17_6  12917 13326 18067 1534587 40851 1522036 5971  4483 97133 15486 10058 31889 14244 104651
SRM_1831_300s_20x20det_1_17_7  12823 13461 17622 1531975 40889 1520709 6024  2919 96622 15148 10285 31389 14627 104374
SRM_1831_300s_20x20det_1_17_8  12995 13410 17760 1531755 40652 1520007 5863  3034 96538 15724 10539 32504 14959 105441
SRM_1831_300s_20x20det_1_17_9  12671 13530 17789 1534135 41033 1526425 6164  3717 97200 15612 10372 31910 14328 104169
SRM_1831_300s_20x20det_1_18_0  12813 13228 18281 1531844 40591 1523625 5919  3349 96858 15378 10312 31706 14737 105440
SRM_1831_300s_20x20det_1_18_1  12760 13372 18215 1529182 40655 1520661 5611  3213 97221 16003 10596 31985 14768 104753
SRM_1831_300s_20x20det_1_18_10 12669 13304 17824 1530444 40841 1518391 5719  2973 96655 14618 10745 31562 14127 103986
