ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca    Ti    Mn     Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_2_14_2  13526 14344 19878 1656479 44287 1644885  6689  3564 104331 16960 11586 34596 16183 110790
SRM_1831_300s_20x20det_2_14_3  13723 14402 19756 1658560 43536 1649104  6632  3531 105538 16676 11731 34750 14967 111824
SRM_1831_300s_20x20det_2_14_4  13557 14228 19687 1659121 44155 1644985  6210  3622 105210 17109 11428 34550 15393 110512
SRM_1831_300s_20x20det_2_14_5  13544 14259 19669 1657923 44217 1646283  6359  3565 105383 16640 11976 34096 15452 110557
SRM_1831_300s_20x20det_2_14_6  13574 14287 19769 1656711 44157 1645287  6533  3967 105621 16480 12204 34113 16074 110906
SRM_1831_300s_20x20det_2_14_7  13794 14374 19659 1656691 44140 1646960  6185  2741 104424 16514 11256 34203 15063 110244
SRM_1831_300s_20x20det_2_14_8  13361 14358 19759 1657301 43997 1649360  6276  3590 104756 16502 11069 34722 15746 110203
SRM_1831_300s_20x20det_2_14_9   8664  8785 12357 1043586 28352 1065206  4468  2635  68649 10744  7907 22250  9932  72326
SRM_1831_300s_20x20det_2_15_0  13796 14351 19662 1658111 44026 1648104  6472  3611 104483 16481 12132 34322 16269 112095
SRM_1831_300s_20x20det_2_15_1   7895  8273 11441  970667 25576  967034  3865  2071  61949 10118  7054 20385  9042  65399
SRM_1831_300s_20x20det_2_15_10 11231 11912 16579 1384609 36548 1378909  5099  3079  88024 14249 10406 29192 13530  91912
SRM_1831_300s_20x20det_2_15_11 13572 14216 19866 1656185 44282 1647928  6316  3623 104691 15927 11492 35268 14992 110946
SRM_1831_300s_20x20det_2_15_12 13518 14284 19919 1656909 43687 1646685  6514  4030 106374 17047 11296 33545 15335 111050
SRM_1831_300s_20x20det_2_15_13  2777  2918  3964  335590  8975  334980  1436  1078  21637  3816  3000  7621  3825  22940
SRM_1831_300s_20x20det_2_15_14 13674 13797 19593 1650592 44469 1647138  6364  3258 105562 17344 11516 33891 15384 110888
SRM_1831_300s_20x20det_2_15_15 13574 14291 20221 1664154 44319 1651370  6463  3675 105183 17875 11149 33997 15452 110905
SRM_1831_300s_20x20det_2_15_16 13511 14110 19619 1661673 44267 1650235  6528  4005 105719 17497 11450 34665 15366 111309
SRM_1831_300s_20x20det_2_15_17 13579 14193 19813 1659769 44179 1649116  6330  3330 104705 17168 11699 35350 17592 110631
SRM_1831_300s_20x20det_2_15_18 13637 14029 19677 1657729 43855 1648385  6659  3701 105732 17044 11446 34543 15589 110691
SRM_1831_300s_20x20det_2_15_19 13742 14100 19746 1659809 43808 1649601  6482  3528 104856 16865 11909 34428 15620 111174
SRM_1831_300s_20x20det_2_15_2  13683 14260 19616 1655514 43777 1645261  6701  3771 104360 17378 11534 34413 16415 110822
SRM_1831_300s_20x20det_2_15_3  13764 14338 19911 1655607 44193 1647128  6110  3595 104674 16440 11667 34150 16525 111053
SRM_1831_300s_20x20det_2_15_4  13675 14443 19784 1657412 43957 1646923  6192  3842 104947 17165 11646 35186 15549 110439
SRM_1831_300s_20x20det_2_15_5  13561 14241 19654 1658454 43944 1645115  6434  3632 105762 16800 12160 34517 15643 110240
SRM_1831_300s_20x20det_2_15_6  13658 14230 19902 1658332 44171 1648953  6751  4339 105710 16611 11532 34767 15881 110654
SRM_1831_300s_20x20det_2_15_7  13336 14126 19451 1658027 44554 1649157  6438  3945 104811 16883 12282 34421 14744 110490
SRM_1831_300s_20x20det_2_15_8  13733 14090 19926 1659076 44183 1646982  6447  3834 105605 17833 11427 34567 16539 111015
SRM_1831_300s_20x20det_2_15_9  13855 14154 19754 1658458 44174 1649964  6451  3608 104941 16725 11547 34751 15990 110925
SRM_1831_300s_20x20det_2_16_0  13900 14356 20112 1658778 44170 1648783  6215  3243 105097 16937 11433 34284 16462 111711
SRM_1831_300s_20x20det_2_16_1   1608  1670  2202  186003  4900  184799   906   566  12004  2332  1947  4712  2336  12399
SRM_1831_300s_20x20det_2_16_10 13697 14361 19444 1661362 44141 1649438  6457  3695 105776 17176 11708 34991 15588 110734
SRM_1831_300s_20x20det_2_16_11 13837 14313 20006 1658127 44082 1648066  6698  4019 105559 17078 11972 34826 16035 111371
SRM_1831_300s_20x20det_2_16_12 13679 14058 19977 1658186 43972 1649834  6322  3205 105386 16933 10988 35316 15481 111050
SRM_1831_300s_20x20det_2_16_13 13623 13981 19602 1638457 43430 1644861  6437  3668 105332 16888 11354 33537 15759 110885
SRM_1831_300s_20x20det_2_16_14 13700 14362 20109 1659988 43948 1648179  6706  3752 105319 16955 11861 35025 17021 109607
SRM_1831_300s_20x20det_2_16_15 13751 14423 19769 1658511 44026 1650912  6563  3690 105434 16688 11833 35242 16002 111129
SRM_1831_300s_20x20det_2_16_16 13724 14393 20004 1657911 43613 1648230  6357  3160 105209 17012 11830 34251 15801 110708
SRM_1831_300s_20x20det_2_16_17 13704 14416 19944 1657729 44139 1648086  6386  3525 105740 17559 11328 34564 15609 110916
SRM_1831_300s_20x20det_2_16_18  9850 10387 14418 1221820 32595 1211919  4888  2897  77421 12340  8452 25073 11115  81957
SRM_1831_300s_20x20det_2_16_19 13641 14397 20239 1661192 44593 1652452  6467  3545 105034 16628 11875 34622 16450 111458
SRM_1831_300s_20x20det_2_16_2  13834 14158 19562 1655841 44303 1647478  6552  3776 105067 16877 11722 34567 15738 110437
SRM_1831_300s_20x20det_2_16_3  10320 10740 14589 1243719 32959 1235657  4883  2714  78492 12629  8960 25789 12251  82249
SRM_1831_300s_20x20det_2_16_4  13627 14090 19627 1658373 43606 1650401  6574  4371 105188 16266 11920 35093 16288 111051
SRM_1831_300s_20x20det_2_16_5  13669 14125 19863 1658045 44100 1649806  6373  3455 104891 16415 11919 34485 16110 110911
SRM_1831_300s_20x20det_2_16_6  13567 14136 19643 1655940 44055 1647855  6483  3937 106166 16787 11635 34312 15874 110481
SRM_1831_300s_20x20det_2_16_7  13632 14362 19719 1656741 44264 1647862  6621  4264 104120 17002 12146 34196 15955 110243
SRM_1831_300s_20x20det_2_16_8  13679 14172 19658 1656506 43695 1646864  6528  3890 105331 16156 12694 35543 16200 110240
SRM_1831_300s_20x20det_2_16_9  13474 13859 19294 1625792 43118 1617139  5959  3353 103472 16285 12236 34173 16159 108942
SRM_1831_300s_20x20det_2_17_0  13871 14188 19986 1659596 43654 1650304  6352  2969 105027 17423 11947 34086 15615 112194
SRM_1831_300s_20x20det_2_17_1  13700 14188 19801 1661628 44046 1649193  6284  3501 105445 16617 11177 34383 15568 111578
SRM_1831_300s_20x20det_2_17_10 13447 14355 19812 1659296 44231 1650960  6826  3331 104744 16986 11465 35091 14651 109907
SRM_1831_300s_20x20det_2_17_11 13651 14381 19895 1662992 44431 1649730  6418  3755 105825 16699 11769 34662 14958 111762
SRM_1831_300s_20x20det_2_17_12 13781 14294 19798 1659389 44207 1647577  6302  3546 104938 16172 11677 35529 16569 110697
SRM_1831_300s_20x20det_2_17_13 13489 13908 19630 1660019 44573 1653533  6559  3419 105910 16783 11909 34283 15633 111787
SRM_1831_300s_20x20det_2_17_14  8848  9149 12735 1074658 28663 1067606  4078  2574  68366 11485  8131 22609 10566  72559
SRM_1831_300s_20x20det_2_17_15 13919 14303 19721 1657601 44142 1652416  6224  3371 104740 16761 11542 34371 15442 110482
SRM_1831_300s_20x20det_2_17_16 13730 14133 19812 1659380 44187 1649398  6316  3589 104891 16570 11765 34104 15816 110189
SRM_1831_300s_20x20det_2_17_17 13708 14137 19769 1660535 43905 1651148  6675  3268 105161 16706 11814 34572 16028 111272
SRM_1831_300s_20x20det_2_17_18 13593 14343 19770 1657945 44444 1651234  6831  3384 104971 16268 11415 33434 15348 110291
SRM_1831_300s_20x20det_2_17_19 11049 11613 16062 1352496 36404 1347396  5249  2729  85634 13862  9841 28975 13594  90569
SRM_1831_300s_20x20det_2_17_2  13832 14303 19833 1660213 44557 1650138  6439  3131 104996 16413 12213 34674 16431 111446
SRM_1831_300s_20x20det_2_17_3  13645 14304 19985 1660518 43571 1652794  6320  3426 104399 16716 11316 33746 15697 110889
SRM_1831_300s_20x20det_2_17_4  13804 14255 19739 1660910 44288 1650014  6263  3085 105067 17053 11964 34211 16238 110375
SRM_1831_300s_20x20det_2_17_5  13869 14396 19880 1661525 44218 1652006  6779  3304 106300 17313 11580 34424 16095 111668
SRM_1831_300s_20x20det_2_17_6  13806 14426 19887 1663677 43867 1651644  6290  3704 105298 16637 12182 34093 16476 110809
SRM_1831_300s_20x20det_2_17_7  13764 14346 19455 1661485 44537 1653998  6435  3345 104463 17109 12122 35066 16494 110568
SRM_1831_300s_20x20det_2_17_8  13813 14316 19751 1660588 44045 1652996  6640  3547 104945 16631 11783 34309 16947 110434
SRM_1831_300s_20x20det_2_17_9  13536 14241 19681 1656952 44105 1650137  6233  3848 106009 16602 12043 35145 15951 110515
SRM_1831_300s_20x20det_2_18_0  13776 14229 19796 1658694 44346 1648225  6440  3285 104736 16932 11831 33877 16036 112824
